Fecha,sst_nino12_proxy
2019-08-18,20.799927
2019-08-19,20.565063
2019-08-20,20.46753
2019-08-21,20.485382
2019-08-22,20.652802
2019-08-23,20.700073
2019-08-24,20.615479
2019-08-25,20.60376
2019-08-26,20.432678
2019-08-27,20.259735
2019-08-28,20.012207
2019-08-29,19.740509
2019-08-30,19.621979
2019-08-31,19.5141
2019-09-01,19.320465
2019-09-02,19.442902
2019-09-03,19.462097
2019-09-04,19.362091
2019-09-05,19.57727
2019-09-06,19.672852
2019-09-07,19.77182
2019-09-08,19.727753
2019-09-09,19.378937
2019-09-10,19.189545
2019-09-11,18.979706
2019-09-12,18.844482
2019-09-13,18.78421
2019-09-14,18.682465
